"Step","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700377794__DiagGaussianDistribution-Tanh-num-steps-1024 - train/return","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700377794__DiagGaussianDistribution-Tanh-num-steps-1024 - train/return__MIN","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700377794__DiagGaussianDistribution-Tanh-num-steps-1024 - train/return__MAX","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700224042__DiagGaussianDistribution-Tanh - train/return","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700224042__DiagGaussianDistribution-Tanh - train/return__MIN","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700224042__DiagGaussianDistribution-Tanh - train/return__MAX","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700138663__fixed_lr - train/return","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700138663__fixed_lr - train/return__MIN","RoboPianist-debug-CMajorScaleTwoHands-v0__88__1700138663__fixed_lr - train/return__MAX"
"2718","-7.0472786190713395","-7.0472786190713395","-7.0472786190713395","-56.03493042651242","-56.03493042651242","-56.03493042651242","-48.595629904210384","-48.595629904210384","-48.595629904210384"
"2869","4.000223166438937","4.000223166438937","4.000223166438937","-60.48987152297773","-60.48987152297773","-60.48987152297773","-33.82324508352394","-33.82324508352394","-33.82324508352394"
"3020","-1.371159087674151","-1.371159087674151","-1.371159087674151","-25.992929851597626","-25.992929851597626","-25.992929851597626","-31.246639337309652","-31.246639337309652","-31.246639337309652"
"3171","30.36917191383166","30.36917191383166","30.36917191383166","-15.0461334429662","-15.0461334429662","-15.0461334429662","-15.433073565575713","-15.433073565575713","-15.433073565575713"
"3322","15.810326153246834","15.810326153246834","15.810326153246834","-32.45125905357704","-32.45125905357704","-32.45125905357704","-40.80748153453471","-40.80748153453471","-40.80748153453471"
"3473","13.032422959165029","13.032422959165029","13.032422959165029","-8.243756197079529","-8.243756197079529","-8.243756197079529","-47.367789752039975","-47.367789752039975","-47.367789752039975"
"3624","-5.6658799964678925","-5.6658799964678925","-5.6658799964678925","-13.795604878625909","-13.795604878625909","-13.795604878625909","-43.09072663685588","-43.09072663685588","-43.09072663685588"
"3775","11.443215499853501","11.443215499853501","11.443215499853501","-3.4949141693257957","-3.4949141693257957","-3.4949141693257957","-30.865050983767127","-30.865050983767127","-30.865050983767127"
"3926","19.74117471942028","19.74117471942028","19.74117471942028","-6.934739778060573","-6.934739778060573","-6.934739778060573","-20.206428416109055","-20.206428416109055","-20.206428416109055"
"4077","20.754637778753626","20.754637778753626","20.754637778753626","32.105096598192176","32.105096598192176","32.105096598192176","-19.81703968907366","-19.81703968907366","-19.81703968907366"
"4228","25.34127300501445","25.34127300501445","25.34127300501445","26.47528981372496","26.47528981372496","26.47528981372496","-30.580025434342662","-30.580025434342662","-30.580025434342662"
"4379","27.61027239003426","27.61027239003426","27.61027239003426","23.45565365873295","23.45565365873295","23.45565365873295","-17.19033142011703","-17.19033142011703","-17.19033142011703"
"4530","25.425624688566284","25.425624688566284","25.425624688566284","50.35383285618386","50.35383285618386","50.35383285618386","0.517735796285167","0.517735796285167","0.517735796285167"
"4681","37.280984579733875","37.280984579733875","37.280984579733875","56.584359289612934","56.584359289612934","56.584359289612934","-18.892533023706985","-18.892533023706985","-18.892533023706985"
